# BUSCO version is: 5.8.0 
# The lineage dataset is: micrococcales_odb10 (Creation date: 2024-01-08, number of genomes: 234, number of BUSCOs: 537)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
11132at85006	Complete	NODE_1_length_1475171_cov_354.830449	917147	918248	+	399.9	276	https://v10-1.orthodb.org/?query=11132at85006	SUF system FeS cluster assembly, SufBD
11179at85006	Complete	NODE_1_length_1475171_cov_354.830449	940505	941711	+	436.8	307	https://v10-1.orthodb.org/?query=11179at85006	deoxyguanosinetriphosphate triphosphohydrolase
11205at85006	Complete	NODE_1_length_1475171_cov_354.830449	1197284	1198700	+	702.4	407	https://v10-1.orthodb.org/?query=11205at85006	Signal recognition particle protein
11236at85006	Complete	NODE_1_length_1475171_cov_354.830449	832421	833648	+	706.6	377	https://v10-1.orthodb.org/?query=11236at85006	3-deoxy-7-phosphoheptulonate synthase
11262at85006	Complete	NODE_1_length_1475171_cov_354.830449	949849	948634	-	472.5	329	https://v10-1.orthodb.org/?query=11262at85006	Beta-ketoacyl synthase, C-terminal
11275at85006	Complete	NODE_4_length_275063_cov_365.955049	18906	17568	-	643.1	396	https://v10-1.orthodb.org/?query=11275at85006	HDIG domain
11360at85006	Complete	NODE_1_length_1475171_cov_354.830449	976177	974830	-	514.1	354	https://v10-1.orthodb.org/?query=11360at85006	Dihydrolipoyl dehydrogenase
11387at85006	Complete	NODE_1_length_1475171_cov_354.830449	1027780	1029235	+	507.2	371	https://v10-1.orthodb.org/?query=11387at85006	Protein translocase subunit SecD
11420at85006	Complete	NODE_1_length_1475171_cov_354.830449	1293494	1294787	+	472.2	360	https://v10-1.orthodb.org/?query=11420at85006	Mur ligase, C-terminal
11621at85006	Complete	NODE_1_length_1475171_cov_354.830449	884036	885446	+	728.5	397	https://v10-1.orthodb.org/?query=11621at85006	S1 domain
11761at85006	Complete	NODE_3_length_491278_cov_352.009914	329005	330196	+	682.2	351	https://v10-1.orthodb.org/?query=11761at85006	Elongation factor Tu
11842at85006	Complete	NODE_2_length_676389_cov_354.803251	16305	17733	+	700.1	411	https://v10-1.orthodb.org/?query=11842at85006	GTPase Der
11979at85006	Complete	NODE_1_length_1475171_cov_354.830449	299757	300996	+	549.5	352	https://v10-1.orthodb.org/?query=11979at85006	Serine--tRNA ligase
11992at85006	Complete	NODE_1_length_1475171_cov_354.830449	1156810	1158202	+	559.4	380	https://v10-1.orthodb.org/?query=11992at85006	Glutamate--tRNA ligase
12475at85006	Complete	NODE_1_length_1475171_cov_354.830449	583669	582328	-	454.6	353	https://v10-1.orthodb.org/?query=12475at85006	Cytochrome BD ubiquinol oxidase subunit I
12556at85006	Complete	NODE_2_length_676389_cov_354.803251	180186	181569	+	603.2	384	https://v10-1.orthodb.org/?query=12556at85006	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
12728at85006	Complete	NODE_1_length_1475171_cov_354.830449	1206417	1207944	+	555.2	411	https://v10-1.orthodb.org/?query=12728at85006	Ribosomal protein S5 domain 2-type fold
12741at85006	Complete	NODE_5_length_178176_cov_341.842385	100875	102687	+	710.3	460	https://v10-1.orthodb.org/?query=12741at85006	ABC transporter-like
12849at85006	Complete	NODE_1_length_1475171_cov_354.830449	1416903	1415808	-	462.3	286	https://v10-1.orthodb.org/?query=12849at85006	Carbamoyl-phosphate synthase, small subunit
12880at85006	Complete	NODE_1_length_1475171_cov_354.830449	1435062	1433427	-	655.2	483	https://v10-1.orthodb.org/?query=12880at85006	DNA helicase
13063at85006	Complete	NODE_1_length_1475171_cov_354.830449	1410286	1409113	-	545.3	319	https://v10-1.orthodb.org/?query=13063at85006	S-adenosylmethionine synthetase
13521at85006	Complete	NODE_4_length_275063_cov_365.955049	55532	54077	-	545.9	424	https://v10-1.orthodb.org/?query=13521at85006	Cell division protein FtsI
13731at85006	Complete	NODE_5_length_178176_cov_341.842385	61661	60389	-	717.0	400	https://v10-1.orthodb.org/?query=13731at85006	Enolase
13758at85006	Complete	NODE_2_length_676389_cov_354.803251	369955	371053	+	729.0	348	https://v10-1.orthodb.org/?query=13758at85006	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
13909at85006	Complete	NODE_5_length_178176_cov_341.842385	121635	120630	-	322.3	251	https://v10-1.orthodb.org/?query=13909at85006	Uroporphyrinogen decarboxylase
14140at85006	Complete	NODE_1_length_1475171_cov_354.830449	901500	902670	+	482.7	334	https://v10-1.orthodb.org/?query=14140at85006	Phosphoglycerate kinase
14150at85006	Complete	NODE_2_length_676389_cov_354.803251	164585	165857	+	587.6	352	https://v10-1.orthodb.org/?query=14150at85006	Pyrimidine-nucleoside phosphorylase
14306at85006	Complete	NODE_3_length_491278_cov_352.009914	346873	347821	+	576.2	304	https://v10-1.orthodb.org/?query=14306at85006	DNA-directed RNA polymerase subunit alpha
14318at85006	Complete	NODE_1_length_1475171_cov_354.830449	1229765	1230812	+	496.2	289	https://v10-1.orthodb.org/?query=14318at85006	tRNA-specific 2-thiouridylase
14364at85006	Complete	NODE_1_length_1475171_cov_354.830449	1333192	1334392	+	507.3	340	https://v10-1.orthodb.org/?query=14364at85006	coproporphyrinogen III oxidase
14571at85006	Complete	NODE_1_length_1475171_cov_354.830449	939337	940447	+	550.5	316	https://v10-1.orthodb.org/?query=14571at85006	tRNA-dihydrouridine synthase
14940at85006	Complete	NODE_4_length_275063_cov_365.955049	33681	34803	+	400.6	316	https://v10-1.orthodb.org/?query=14940at85006	Beta sliding clamp
14948at85006	Complete	NODE_1_length_1475171_cov_354.830449	1044564	1045728	+	573.9	334	https://v10-1.orthodb.org/?query=14948at85006	Chorismate synthase
15406at85006	Complete	NODE_5_length_178176_cov_341.842385	100057	98746	-	493.1	364	https://v10-1.orthodb.org/?query=15406at85006	Bifunctional protein GlmU
15612at85006	Complete	NODE_1_length_1475171_cov_354.830449	1075741	1074481	-	527.3	340	https://v10-1.orthodb.org/?query=15612at85006	Nicotinate phosphoribosyltransferase
15899at85006	Complete	NODE_1_length_1475171_cov_354.830449	1273879	1275142	+	541.9	374	https://v10-1.orthodb.org/?query=15899at85006	Trigger factor
15958at85006	Complete	NODE_5_length_178176_cov_341.842385	114538	113281	-	543.1	355	https://v10-1.orthodb.org/?query=15958at85006	Glutamate-1-semialdehyde 2,1-aminomutase
16099at85006	Complete	NODE_1_length_1475171_cov_354.830449	1237287	1238676	+	635.2	392	https://v10-1.orthodb.org/?query=16099at85006	Glutamyl-tRNA(Gln) amidotransferase subunit A
16639at85006	Complete	NODE_2_length_676389_cov_354.803251	282386	281162	-	578.5	348	https://v10-1.orthodb.org/?query=16639at85006	Pyridoxal phosphate-dependent transferase
16781at85006	Complete	NODE_5_length_178176_cov_341.842385	137359	138835	+	461.5	413	https://v10-1.orthodb.org/?query=16781at85006	Protein O-mannosyl-transferase, C-terminal four TM domain
17047at85006	Complete	NODE_1_length_1475171_cov_354.830449	846760	848176	+	413.8	350	https://v10-1.orthodb.org/?query=17047at85006	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
17248at85006	Complete	NODE_1_length_1475171_cov_354.830449	1035098	1036364	+	572.6	353	https://v10-1.orthodb.org/?query=17248at85006	AAA C-terminal domain
17282at85006	Complete	NODE_5_length_178176_cov_341.842385	32476	31408	-	533.3	296	https://v10-1.orthodb.org/?query=17282at85006	Ribosome-binding ATPase YchF
17285at85006	Complete	NODE_3_length_491278_cov_352.009914	486741	487842	+	588.7	332	https://v10-1.orthodb.org/?query=17285at85006	IMP dehydrogenase/GMP reductase
17439at85006	Complete	NODE_1_length_1475171_cov_354.830449	1418638	1417474	-	590.5	338	https://v10-1.orthodb.org/?query=17439at85006	Dihydroorotase
18079at85006	Missing
18222at85006	Complete	NODE_3_length_491278_cov_352.009914	433519	434824	+	556.1	371	https://v10-1.orthodb.org/?query=18222at85006	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
18261at85006	Complete	NODE_1_length_1475171_cov_354.830449	1143384	1144392	+	503.3	295	https://v10-1.orthodb.org/?query=18261at85006	ketol-acid reductoisomerase
18516at85006	Complete	NODE_2_length_676389_cov_354.803251	4446	6096	+	398.7	384	https://v10-1.orthodb.org/?query=18516at85006	DNA repair protein RecN
18535at85006	Complete	NODE_2_length_676389_cov_354.803251	278662	277591	-	412.0	275	https://v10-1.orthodb.org/?query=18535at85006	Homoserine O-acetyltransferase
18617at85006	Complete	NODE_2_length_676389_cov_354.803251	505959	506994	+	336.5	259	https://v10-1.orthodb.org/?query=18617at85006	Aminomethyltransferase
18701at85006	Complete	NODE_3_length_491278_cov_352.009914	341796	343101	+	572.8	346	https://v10-1.orthodb.org/?query=18701at85006	Protein translocase subunit SecY
18989at85006	Complete	NODE_2_length_676389_cov_354.803251	69846	71004	+	589.9	344	https://v10-1.orthodb.org/?query=18989at85006	Succinate--CoA ligase 
19130at85006	Complete	NODE_1_length_1475171_cov_354.830449	731995	733039	+	409.2	280	https://v10-1.orthodb.org/?query=19130at85006	Histidinol-phosphate aminotransferase
19147at85006	Complete	NODE_1_length_1475171_cov_354.830449	462091	460996	-	232.5	232	https://v10-1.orthodb.org/?query=19147at85006	Isochorismate synthase
19201at85006	Complete	NODE_1_length_1475171_cov_354.830449	742449	743448	+	426.3	274	https://v10-1.orthodb.org/?query=19201at85006	Phenylalanine--tRNA ligase alpha subunit
19307at85006	Complete	NODE_3_length_491278_cov_352.009914	225098	223853	-	544.0	357	https://v10-1.orthodb.org/?query=19307at85006	Ribosomal protein S5 domain 2-type fold
19453at85006	Complete	NODE_1_length_1475171_cov_354.830449	2660	1553	-	308.4	285	https://v10-1.orthodb.org/?query=19453at85006	MFS transporter
19512at85006	Complete	NODE_1_length_1475171_cov_354.830449	753598	754747	+	444.7	313	https://v10-1.orthodb.org/?query=19512at85006	Arginine biosynthesis bifunctional protein ArgJ
19620at85006	Complete	NODE_4_length_275063_cov_365.955049	20517	19050	-	340.7	329	https://v10-1.orthodb.org/?query=19620at85006	SAM-dependent methyltransferase
19771at85006	Complete	NODE_2_length_676389_cov_354.803251	11424	12192	+	404.0	230	https://v10-1.orthodb.org/?query=19771at85006	Chromosome partitioning protein
19863at85006	Complete	NODE_1_length_1475171_cov_354.830449	1406185	1404871	-	396.8	317	https://v10-1.orthodb.org/?query=19863at85006	Methyltransferase
19976at85006	Complete	NODE_1_length_1475171_cov_354.830449	717799	718747	+	572.5	285	https://v10-1.orthodb.org/?query=19976at85006	Protein RecA
20117at85006	Complete	NODE_2_length_676389_cov_354.803251	379411	380374	+	461.7	280	https://v10-1.orthodb.org/?query=20117at85006	Transcription termination/antitermination protein NusA
20138at85006	Complete	NODE_1_length_1475171_cov_354.830449	761892	763143	+	598.4	359	https://v10-1.orthodb.org/?query=20138at85006	Tyrosine--tRNA ligase
20162at85006	Complete	NODE_1_length_1475171_cov_354.830449	844215	845601	+	360.9	320	https://v10-1.orthodb.org/?query=20162at85006	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
20595at85006	Complete	NODE_1_length_1475171_cov_354.830449	1335556	1336663	+	417.1	299	https://v10-1.orthodb.org/?query=20595at85006	Chaperone protein DnaJ
20625at85006	Complete	NODE_4_length_275063_cov_365.955049	56851	55552	-	528.2	373	https://v10-1.orthodb.org/?query=20625at85006	Cell division protein
20663at85006	Complete	NODE_5_length_178176_cov_341.842385	115518	114618	-	413.1	272	https://v10-1.orthodb.org/?query=20663at85006	Delta-aminolevulinic acid dehydratase
20680at85006	Complete	NODE_2_length_676389_cov_354.803251	560885	559811	-	500.6	309	https://v10-1.orthodb.org/?query=20680at85006	Phosphoserine aminotransferase
20691at85006	Complete	NODE_1_length_1475171_cov_354.830449	1445230	1446403	+	593.0	344	https://v10-1.orthodb.org/?query=20691at85006	Helicase, C-terminal
